File,Wavelet,Coefficient_Type,Level,PSNR
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,1,32.01224342551849
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,1,33.80244637419408
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,2,31.106139219314038
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,2,33.69556614180785
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,3,29.543677565871008
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,3,33.26886104201462
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Approximate,1,32.22201389442401
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Detailed,1,34.027953256124064
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Approximate,1,31.984907032849126
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Detailed,1,33.800443016819116
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Approximate,2,31.45471774762923
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Detailed,2,32.32487977667746
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,coif1,Approximate,1,31.702450185040114
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,coif1,Detailed,1,33.397150589598745
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,bior1.3,Approximate,1,32.02908343673283
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,bior1.3,Detailed,1,34.17535564735418
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,rbio1.3,Approximate,1,31.934219104712483
